TotalReturn,MinReturn,Time,Entropy,LossAfter,StdReturn,Perplexity,MeanKL,MaxKL,Iteration,ValueLoss,AverageReturn,LossBefore,NofTrajectories,ItrTime,MaxReturn
131.49,11.88,1289.9101102352142,1.32012,4.49792,3.73209035763,3.74389,0.407851,2.25074,112,7.76048,16.43625,4.53836,2048,11.486183166503906,23.41
149.11,6.91,1301.2424521446228,1.32712,7.62152,9.23033103076,3.77019,0.568465,2.40249,113,16.7412,18.63875,7.68494,2048,11.325002431869507,37.77
161.51,2.81,1313.566163301468,1.32369,9.12047,12.1526421381,3.75727,0.504881,2.2315,114,23.2679,20.18875,9.19703,2048,12.316357135772705,36.74
195.34,7.07,1324.2715978622437,1.30342,7.61633,11.3261950253,3.68186,0.26846,1.40487,115,26.4995,24.4175,7.6697,2048,10.698215246200562,41.76
205.78,6.66,1335.5478801727295,1.299,9.03443,11.9037890501,3.66563,0.294719,2.8221,116,26.3015,25.7225,9.0908,2048,11.26893401145935,47.64
227.97,11.41,1346.3983075618744,1.31164,11.1457,13.147097529,3.71225,0.320127,1.97942,117,43.4998,28.49625,11.2173,2048,10.842621564865112,52.32
159.74,2.59,1357.4947001934052,1.30574,8.63895,12.23741573,3.69043,0.295325,1.87186,118,27.8576,19.9675,8.68522,2048,11.088257551193237,36.76
111.97,2.37,1369.869856595993,1.33415,4.09193,9.31347134196,3.79678,0.31223,2.15951,119,7.90652,13.99625,4.12796,2048,12.367213249206543,33.38
178.16,13.03,1380.7483932971954,1.3165,8.75801,7.76865657627,3.73035,0.277901,1.70508,120,23.278,22.27,8.83768,2048,10.871528387069702,37.96
181.29,6.69,1392.1076056957245,1.32095,8.63093,14.3713842735,3.74697,0.334956,1.80986,121,28.2138,22.66125,8.69975,2048,11.351085662841797,42.14
177.04,3.17,1403.3264575004578,1.31273,9.018,12.1541710947,3.71629,0.31641,1.56701,122,27.6701,22.13,9.11895,2048,11.211808919906616,41.55
204.72,1.59,1415.429272890091,1.3154,8.39145,14.0655190093,3.72626,0.329221,2.01555,123,29.6397,25.59,8.46297,2048,12.095732927322388,46.63
209.82,11.57,1426.6303825378418,1.32613,9.93968,10.616677623,3.76643,0.331447,1.89801,124,31.9656,26.2275,10.0381,2048,11.194034337997437,41.63
127.54,1.71,1438.5353116989136,1.30705,5.23312,8.7169730268,3.69524,0.284082,1.58721,125,16.4552,15.9425,5.27997,2048,11.897708654403687,28.65
213.82,1.07,1449.2922518253326,1.3107,9.74076,16.470570535,3.70878,0.343312,1.74251,126,35.972,26.7275,9.79887,2048,10.749664783477783,52.28
141.39,8.03,1460.8381986618042,1.33402,8.03027,4.86339628629,3.79626,0.499235,3.2563,127,14.6548,17.67375,8.06631,2048,11.538125991821289,22.7
136.11,4.08,1471.955367565155,1.33081,5.22472,9.65769762612,3.7841,0.290036,1.56831,128,10.5442,17.01375,5.26013,2048,11.109262466430664,31.22
201.78,11.38,1483.1410648822784,1.31825,7.11346,10.7293077013,3.73689,0.24856,1.55013,129,28.7769,25.2225,7.15896,2048,11.178460836410522,46.57
